Column1,shares,likes,Unnamed: 3,Unnamed: 4
347,4849,2533,,
348,1808,2012,,
349,2393,2393,,
350,175,2971,,
351,150,342,,
352,531,4077,,
353,354,1142,,
354,1618,2946,,
355,1478,1707,,
356,1249,8882,,
357,713,3443,,
358,1640,4930,,
359,31153,372809,,
360,254,320,,
361,3406,5982,,
362,785,6193,,
363,1293,1638,,
364,2285,2383,,
365,460,6922,,
366,416,3184,,
367,2028,5243,,
368,854,22428,,
369,617,4993,,
370,225,2921,,
371,3232,22123,,
372,1389,8481,,
373,2294,32415,,
374,931,15077,,
375,3346,24400,,
376,1520,11226,,
377,5224,1758,,
378,1963,2209,,
379,275,3849,,
380,5138,5343,,
381,1913,18779,,
382,765,9883,,
383,147,4008,,
384,65,404,,
385,879,1022,,
386,2758,15630,,
387,1126,6923,,
388,877,1262,,
389,324,1712,,
390,321,2027,,
391,2884,4034,,
392,278,1877,,
393,1073,5088,,
394,236,1706,,
395,223,9795,,
396,102,794,,
397,517,5486,,
398,662,3297,,
399,333,2779,,
400,10094,39910,,
401,1644,6859,,
402,3246,2233,,
403,5437,25972,,
404,9175,2754,,
405,1848,1520,,
406,584,8679,,
407,2615,45400,,
408,3325,15685,,
409,2474,18574,,
410,7230,155796,,
411,896,17430,,
412,302,5867,,
413,88,1590,,
414,2584,22562,,
415,13608,4490,,
416,1817,6182,,
417,566,7663,,
418,5418,48777,,
419,935,10514,,
420,358,1403,,
421,299,4714,,
422,11490,55528,,
423,422,4259,,
424,912,1514,,
425,866,11314,,
426,895,4852,,
427,1586,5580,,
428,2016,8735,,
429,961,1783,,
430,275,1473,,
431,4517,5761,,
432,402,2620,,
433,580,9586,,
434,1080,10301,,
435,16561,10156,,
436,1155,8822,,
437,350,5463,,
438,4722,3368,,
439,2089,14395,,
440,438,12356,,
441,6626,17417,,
442,968,2980,,
443,571,1512,,
444,303,1786,,
445,238,2771,,
446,2962,39024,,
447,154,2330,,
448,1795,14439,,
449,1780,6370,,
450,1913,3116,,
451,1251,3148,,
452,448,7641,,
453,3733,28725,,
454,4347,4923,,
455,1920,4012,,
456,8182,2836,,
457,483,4063,,
458,6396,39611,,
459,2377,15416,,
460,1427,2410,,
461,13820,4928,,
462,13102,83363,,
463,7990,903,,
464,716,10268,,
465,863,5998,,
466,847,1009,,
467,1638,1670,,
468,21556,9416,,
469,4727,16666,,
470,2534,23477,,
471,532,1457,,
472,296,463,,
473,97,429,,
474,283,671,,
475,754,1852,,
476,120,645,,
477,4099,2143,,
478,4262,24757,,
479,750,8375,,
480,1143,6952,,
481,3145,13926,,
482,2795,15005,,
483,658,5089,,
484,223,3168,,
485,584,1280,,
486,99,1287,,
487,1490,2001,,
488,3346,59179,,
489,4188,3748,,
490,1132,16463,,
491,13820,4928,,
492,374,694,,
493,1386,5245,,
494,684,9954,,
495,476,8216,,
496,172,2657,,
497,381,885,,
498,381,885,,
499,189,2431,,
500,4520,3526,,
501,798,1184,,
502,130,1120,,
503,2314,13533,,
504,1098,3222,,
505,6356,20046,,
506,5747,41744,,
507,97,803,,
508,668,4854,,
509,3479,48280,,
510,299,885,,
511,613,875,,
512,114,485,,
513,343,1458,,
514,156,548,,
515,269,2711,,
516,1964,1480,,
517,230,747,,
518,63291,171303,,
519,719,811,,
520,144,624,,
521,855,2399,,
522,3803,21319,,
523,452,4553,,
524,54925,75746,,
525,166,735,,
526,588,9035,,
527,534,1118,,
528,564,2564,,
529,1154,11910,,
530,3278,1714,,
531,968,7376,,
532,217,2982,,
533,3094,3866,,
534,896,2787,,
535,16012,31354,,
536,542,15641,,
537,6918,25073,,
538,766,3163,,
539,9391,42894,,
540,938,4563,,
541,3955,13166,,
542,6999,24537,,
543,1356,12334,,
544,2579,15957,,
545,4467,14718,,
546,98029,69783,,
547,12803,26660,,
